Compound_SMILES,Compound_InchiKeys,Compound_Name,UniProt_Id,Entrez_Gene_Symbol,DiscoveRx_Gene_Symbol
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,Q9UM73,ALK,ALK
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,Q9UIK4,DAPK2,DAPK2
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O15075,DCLK1,DCAMKL1
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,Q8N568,DCLK2,DCAMKL2
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O15197,EPHB6,EPHB6
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,Q05397,PTK2,FAK
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P16591,FER,FER
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P07332,FES,FES
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,P42685,FRK,FRK
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,Q15835,GRK1,GRK1
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,Q8WTQ7,GRK7,GRK7
C[C@@H](OC1=C(N)N=CC(C2=C(C#N)N(C)N=C2C3)=C1)C4=CC(F)=CC=C4C(N3C)=O,IIXWYSCJSQVBQM-LLVKDONJSA-N,PFE-PKIS 10,O94804,STK10,LOK
